date,cash,invested,total_equity,total_pnl,roi,num_positions,initial_cash
2025-10-12 09:25:51,100.0,0,100.0,0,0.0,0,100.0
2025-10-12 09:43:07,100.0,0,100.0,0,0.0,0,100.0
2025-10-12 10:08:08,100.0,0,100.0,0,0.0,0,100.0
2025-10-12 11:02:26,100.0,0,100.0,0,0.0,0,100.0
2025-10-12 11:18:44,100.0,0,100.0,0,0.0,0,100.0
2025-10-12 13:03:51,100.0,0,100.0,0,0.0,0,100.0
2025-10-12 13:11:38,100.0,0,100.0,0,0.0,0,100.0
2025-10-12 13:38:00,100.0,0,100.0,0,0.0,0,100.0
2025-10-12 14:55:29,100.0,0,100.0,0,0.0,0,100.0
2025-10-12 15:18:23,100.0,0,100.0,0,0.0,0,100.0
